0	0	0	542139530	2068.10	3.51
100	100	25	4014151	2068.08	2.95
400	400	25	4014039	2068.03	2.95
0	0	0	542428543	2069.20	3.15
100	100	25	4015919	2068.99	3.13
400	400	25	4016368	2069.23	3.06
0	0	0	542615714	2069.91	3.14
100	100	25	4017847	2069.99	3.04
400	400	25	4017532	2069.83	3.09
0	0	0	542527429	2069.58	3.12
100	100	25	4016886	2069.49	2.99
400	400	25	4017052	2069.58	3.14
0	0	0	542568531	2069.73	3.03
100	100	25	4016827	2069.46	2.84
400	400	25	4017469	2069.79	2.96
0	0	0	542664130	2070.10	3.00
100	100	25	4017867	2070.00	2.89
400	400	25	4017924	2070.03	2.97
0	0	0	542674738	2070.14	3.00
100	100	25	4017978	2070.06	2.91
400	400	25	4018219	2070.18	2.96
0	0	0	542652476	2070.05	3.01
100	100	25	4018151	2070.14	2.94
400	400	25	4017755	2069.94	2.94
0	0	0	542586886	2069.80	3.39
100	100	25	4016885	2069.49	3.03
400	400	25	4017053	2069.58	3.11
0	0	0	542586886	2069.80	3.39
100	100	25	4016885	2069.49	3.03
400	400	25	4017053	2069.58	3.11
0	0	0	542605021	2069.87	3.34
100	100	25	4017625	2069.87	2.91
400	400	25	4017324	2069.72	2.87
0	0	0	542598646	2069.85	3.26
100	100	25	4017282	2069.70	2.88
400	400	25	4017485	2069.80	2.89
0	0	0	542669959	2070.12	3.25
100	100	25	4017603	2069.86	2.88
400	400	25	4017679	2069.90	2.95
0	0	0	542705926	2070.26	3.25
100	100	25	4017810	2069.97	2.94
400	400	25	4018269	2070.21	2.82
0	0	0	542638548	2070.00	3.27
100	100	25	4017496	2069.81	2.86
400	400	25	4017862	2070.00	2.92
0	0	0	542502669	2069.48	3.27
100	100	25	4016657	2069.38	2.81
400	400	25	4016385	2069.23	2.95
0	0	0	542420636	2069.17	3.26
100	100	25	4016379	2069.23	2.86
400	400	25	4015930	2069.00	2.88
0	0	0	545668769	2081.56	2.54
100	100	25	4040279	2081.55	2.53
400	400	25	4040161	2081.48	2.49
0	0	0	545753490	2081.88	2.71
100	100	25	4040900	2081.87	2.63
400	400	25	4040803	2081.82	2.64
0	0	0	545927509	2082.55	3.02
100	100	25	4042155	2082.51	3.07
400	400	25	4042127	2082.50	3.02
0	0	0	546078606	2083.12	3.00
100	100	25	4043334	2083.12	2.95
400	400	25	4043177	2083.04	3.00
0	0	0	546223989	2083.68	2.82
100	100	25	4044348	2083.64	2.77
400	400	25	4044442	2083.69	2.77
0	0	0	546316546	2084.03	2.70
100	100	25	4044629	2083.79	2.79
400	400	25	4045077	2084.02	2.65
0	0	0	546551776	2084.93	2.95
100	100	25	4046818	2084.91	2.66
400	400	25	4046625	2084.81	2.66
0	0	0	546446973	2084.53	2.63
100	100	25	4045788	2084.38	2.58
400	400	25	4046030	2084.51	2.50
0	0	0	546411210	2084.39	2.59
100	100	25	4045622	2084.30	2.57
400	400	25	4045611	2084.29	2.52
0	0	0	546297752	2083.96	2.61
100	100	25	4044722	2083.83	2.48
400	400	25	4044772	2083.86	2.60
0	0	0	546351415	2084.17	2.61
100	100	25	4045299	2084.13	2.51
400	400	25	4045031	2083.99	2.59
0	0	0	546486953	2084.68	5.31
100	100	25	4045978	2084.48	2.57
400	400	25	4046438	2084.72	2.47
0	0	0	546417733	2084.42	2.58
100	100	25	4045670	2084.32	2.54
400	400	25	4045746	2084.36	2.59
0	0	0	546345725	2084.14	2.59
100	100	25	4045427	2084.20	2.52
400	400	25	4045117	2084.04	2.52
0	0	0	546364826	2084.22	2.59
100	100	25	4045466	2084.22	2.53
400	400	25	4045453	2084.21	2.53
0	0	0	545674837	2081.58	3.52
100	100	25	4039861	2081.33	2.75
400	400	25	4040168	2081.49	2.81
0	0	0	545647248	2081.48	3.44
100	100	25	4039796	2081.30	2.78
400	400	25	4039957	2081.38	2.76
0	0	0	545604853	2081.32	3.39
100	100	25	4039667	2081.23	2.76
400	400	25	4039740	2081.27	2.75
0	0	0	545516722	2080.98	3.85
100	100	25	4038897	2080.83	2.79
400	400	25	4038681	2080.72	2.87
0	0	0	545519070	2080.99	3.70
100	100	25	4038726	2080.74	2.76
400	400	25	4038968	2080.87	2.77
0	0	0	545588449	2081.25	3.40
100	100	25	4039325	2081.05	2.75
400	400	25	4039259	2081.02	2.77
0	0	0	545535179	2081.05	3.49
100	100	25	4038814	2080.79	2.83
400	400	25	4038987	2080.88	2.76
0	0	0	545458730	2080.76	3.70
100	100	25	4038478	2080.62	2.72
400	400	25	4038430	2080.59	2.87
0	0	0	545392202	2080.51	3.57
100	100	25	4037955	2080.35	2.76
400	400	25	4037789	2080.26	2.83
0	0	0	545435773	2080.67	3.48
100	100	25	4037986	2080.36	2.72
400	400	25	4038610	2080.69	2.82
0	0	0	545482817	2080.85	3.50
100	100	25	4038775	2080.77	2.80
400	400	25	4038593	2080.68	2.85
0	0	0	545494814	2080.90	3.51
100	100	25	4038659	2080.71	2.76
400	400	25	4038867	2080.82	2.82
0	0	0	545530350	2081.03	3.54
100	100	25	4038993	2080.88	2.86
400	400	25	4038890	2080.83	2.77
0	0	0	545464723	2080.78	3.28
100	100	25	4038295	2080.52	2.89
400	400	25	4038602	2080.68	2.81
0	0	0	545315969	2080.22	3.24
100	100	25	4037332	2080.03	2.89
400	400	25	4037900	2080.32	2.76
0	0	0	545461544	2080.77	3.23
100	100	25	4038523	2080.64	2.75
400	400	25	4038446	2080.60	2.77
0	0	0	545292543	2080.13	3.22
100	100	25	4037264	2079.99	2.78
400	400	25	4037252	2079.99	2.82
0	0	0	545280135	2080.08	3.22
100	100	25	4036909	2079.81	2.84
400	400	25	4037167	2079.94	2.83
