0	0	0	542872872	2070.90	3.55
100	100	25	4019557	2070.87	3.04
400	400	25	4019584	2070.88	3.11
0	0	0	543098704	2071.76	3.43
100	100	25	4020754	2071.49	2.97
400	400	25	4021235	2071.73	3.08
0	0	0	543042013	2071.54	3.47
100	100	25	4020548	2071.38	3.06
400	400	25	4020666	2071.44	2.98
0	0	0	542986079	2071.33	3.45
100	100	25	4019661	2070.92	3.03
400	400	25	4020480	2071.34	3.00
0	0	0	542974369	2071.28	3.42
100	100	25	4020232	2071.22	2.94
400	400	25	4019919	2071.06	3.06
0	0	0	542929208	2071.11	3.35
100	100	25	4019318	2070.75	3.00
400	400	25	4020001	2071.10	3.05
0	0	0	542805193	2070.64	3.44
100	100	25	4018532	2070.34	2.97
400	400	25	4018794	2070.48	3.07
0	0	0	542752614	2070.44	3.46
100	100	25	4018046	2070.09	3.08
400	400	25	4018741	2070.45	3.16
0	0	0	542700997	2070.24	3.46
100	100	25	4018075	2070.11	3.03
400	400	25	4017820	2069.97	3.15
0	0	0	542632900	2069.98	3.49
100	100	25	4017478	2069.80	2.98
400	400	25	4017541	2069.83	3.03
0	0	0	542637322	2070.00	3.45
100	100	25	4017565	2069.84	2.99
400	400	25	4017514	2069.82	3.06
0	0	0	542677430	2070.15	3.43
100	100	25	4017703	2069.91	2.97
400	400	25	4017904	2070.02	3.01
0	0	0	542654916	2070.06	3.46
100	100	25	4017679	2069.90	2.91
400	400	25	4018168	2070.15	3.10
0	0	0	542668019	2070.11	8.81
100	100	25	4017941	2070.04	3.11
400	400	25	4018056	2070.10	3.06
0	0	0	542737526	2070.38	3.49
100	100	25	4018181	2070.16	3.02
400	400	25	4018600	2070.38	3.06
